,property_id,check_in_date,room_category,successful_bookings,capacity,occupancy_percentage %
0,16559,1-May-22,RT1,25,30.0,83.33
1,19562,1-May-22,RT1,28,30.0,93.33
2,19563,1-May-22,RT1,23,30.0,76.67
3,17558,1-May-22,RT1,30,19.0,157.89
4,16558,1-May-22,RT1,18,19.0,94.74
5,17560,1-May-22,RT1,28,40.0,70.0
6,19558,1-May-22,RT1,25,40.0,62.5
7,19560,1-May-22,RT1,23,26.0,88.46
8,17561,1-May-22,RT1,22,,
9,16560,1-May-22,RT1,24,34.0,70.59
10,16561,1-May-22,RT1,16,18.0,88.89
11,16562,1-May-22,RT1,20,31.0,64.52
12,16563,1-May-22,RT1,100,41.0,243.9
13,17559,1-May-22,RT1,26,32.0,81.25
14,17562,1-May-22,RT1,12,,
15,17563,1-May-22,RT1,21,25.0,84.0
16,18558,1-May-22,RT1,11,15.0,73.33
17,18559,1-May-22,RT1,29,42.0,69.05
18,18561,1-May-22,RT1,31,33.0,93.94
19,18562,1-May-22,RT1,34,38.0,89.47
20,18563,1-May-22,RT1,18,27.0,66.67
21,19559,1-May-22,RT1,18,24.0,75.0
22,19561,1-May-22,RT1,25,36.0,69.44
23,17564,1-May-22,RT1,9,16.0,56.25
24,19562,1-May-22,RT2,23,23.0,100.0
25,18563,1-May-22,RT2,21,29.0,72.41
26,17561,1-May-22,RT2,32,36.0,88.89
27,17558,1-May-22,RT2,38,50.0,76.0
28,16562,1-May-22,RT2,30,43.0,69.77
29,16561,1-May-22,RT2,24,24.0,100.0
30,16558,1-May-22,RT2,21,22.0,95.45
31,19560,1-May-22,RT2,37,38.0,97.37
32,16563,1-May-22,RT2,37,38.0,97.37
33,16559,1-May-22,RT2,35,41.0,85.37
34,19559,1-May-22,RT2,32,41.0,78.05
35,19558,1-May-22,RT2,25,39.0,64.1
36,17559,1-May-22,RT2,34,39.0,87.18
37,16560,1-May-22,RT2,25,34.0,73.53
38,18562,1-May-22,RT2,33,34.0,97.06
39,18559,1-May-22,RT2,29,44.0,65.91
40,17563,1-May-22,RT2,40,44.0,90.91
41,17562,1-May-22,RT2,19,30.0,63.33
42,18558,1-May-22,RT2,21,30.0,70.0
43,17564,1-May-22,RT2,25,40.0,62.5
44,18561,1-May-22,RT2,35,40.0,87.5
45,18560,1-May-22,RT2,34,40.0,85.0
46,17560,1-May-22,RT2,31,45.0,68.89
47,19561,1-May-22,RT2,35,45.0,77.78
48,19563,1-May-22,RT2,36,45.0,80.0
49,19563,1-May-22,RT3,20,29.0,68.97
50,18560,1-May-22,RT1,27,30.0,90.0
51,19562,1-May-22,RT3,25,29.0,86.21
52,19561,1-May-22,RT3,23,29.0,79.31
53,18562,1-May-22,RT3,28,29.0,96.55
54,17558,1-May-22,RT3,21,27.0,77.78
55,17562,1-May-22,RT3,15,27.0,55.56
56,19559,1-May-22,RT3,19,27.0,70.37
57,16559,1-May-22,RT3,27,32.0,84.38
58,17560,1-May-22,RT3,19,25.0,76.0
59,18561,1-May-22,RT3,23,25.0,92.0
60,16561,1-May-22,RT3,21,21.0,100.0
61,16563,1-May-22,RT3,17,20.0,85.0
62,17561,1-May-22,RT3,16,19.0,84.21
63,18558,1-May-22,RT3,18,26.0,69.23
64,18560,1-May-22,RT3,21,24.0,87.5
65,18563,1-May-22,RT3,16,23.0,69.57
66,19560,1-May-22,RT3,16,19.0,84.21
67,17564,1-May-22,RT3,16,24.0,66.67
68,16560,1-May-22,RT3,15,20.0,75.0
69,16558,1-May-22,RT3,8,8.0,100.0
70,19558,1-May-22,RT3,13,21.0,61.9
71,16562,1-May-22,RT3,14,18.0,77.78
72,17559,1-May-22,RT3,14,16.0,87.5
73,17563,1-May-22,RT3,14,16.0,87.5
74,18559,1-May-22,RT3,14,23.0,60.87
75,19559,1-May-22,RT4,2,3.0,66.67
76,16562,1-May-22,RT4,4,6.0,66.67
77,17558,1-May-22,RT4,4,6.0,66.67
78,17562,1-May-22,RT4,4,6.0,66.67
79,19563,1-May-22,RT4,4,6.0,66.67
80,19558,1-May-22,RT4,4,7.0,57.14
81,19561,1-May-22,RT4,5,7.0,71.43
82,16560,1-May-22,RT4,6,7.0,85.71
83,16561,1-May-22,RT4,9,10.0,90.0
84,17560,1-May-22,RT4,10,13.0,76.92
85,18561,1-May-22,RT4,8,9.0,88.89
86,17564,1-May-22,RT4,9,17.0,52.94
87,18560,1-May-22,RT4,14,15.0,93.33
88,19560,1-May-22,RT4,15,16.0,93.75
89,18559,1-May-22,RT4,11,19.0,57.89
90,17563,1-May-22,RT4,17,19.0,89.47
91,19562,1-May-22,RT4,13,14.0,92.86
92,17559,1-May-22,RT4,13,14.0,92.86
93,18558,1-May-22,RT4,14,20.0,70.0
94,18562,1-May-22,RT4,19,20.0,95.0
95,18563,1-May-22,RT4,13,18.0,72.22
96,16563,1-May-22,RT4,17,18.0,94.44
97,16559,1-May-22,RT4,17,18.0,94.44
98,17561,1-May-22,RT4,3,4.0,75.0
99,16558,1-May-22,RT4,3,3.0,100.0
100,16559,2-May-22,RT1,20,30.0,66.67
101,18560,2-May-22,RT1,21,30.0,70.0
102,19562,2-May-22,RT1,20,30.0,66.67
103,19563,2-May-22,RT1,14,30.0,46.67
104,17558,2-May-22,RT1,10,19.0,52.63
105,16558,2-May-22,RT1,12,19.0,63.16
106,17560,2-May-22,RT1,22,40.0,55.0
107,19558,2-May-22,RT1,16,40.0,40.0
108,19560,2-May-22,RT1,14,26.0,53.85
109,17561,2-May-22,RT1,15,26.0,57.69
110,16560,2-May-22,RT1,17,34.0,50.0
111,16561,2-May-22,RT1,11,18.0,61.11
112,16562,2-May-22,RT1,17,31.0,54.84
113,16563,2-May-22,RT1,25,41.0,60.98
114,17559,2-May-22,RT1,20,32.0,62.5
115,17562,2-May-22,RT1,9,20.0,45.0
116,17563,2-May-22,RT1,15,25.0,60.0
117,18558,2-May-22,RT1,8,15.0,53.33
118,18559,2-May-22,RT1,17,42.0,40.48
119,18561,2-May-22,RT1,24,33.0,72.73
120,18562,2-May-22,RT1,22,38.0,57.89
121,18563,2-May-22,RT1,14,27.0,51.85
122,19559,2-May-22,RT1,13,24.0,54.17
123,19561,2-May-22,RT1,20,36.0,55.56
124,17564,2-May-22,RT1,7,16.0,43.75
125,19562,2-May-22,RT2,15,23.0,65.22
126,18563,2-May-22,RT2,15,29.0,51.72
127,17561,2-May-22,RT2,23,36.0,63.89
128,17558,2-May-22,RT2,27,50.0,54.0
129,16562,2-May-22,RT2,21,43.0,48.84
130,16561,2-May-22,RT2,16,24.0,66.67
131,16558,2-May-22,RT2,14,22.0,63.64
132,19560,2-May-22,RT2,21,38.0,55.26
133,16563,2-May-22,RT2,23,38.0,60.53
134,16559,2-May-22,RT2,23,41.0,56.1
135,19559,2-May-22,RT2,19,41.0,46.34
136,19558,2-May-22,RT2,17,39.0,43.59
137,17559,2-May-22,RT2,26,39.0,66.67
138,16560,2-May-22,RT2,17,34.0,50.0
139,18562,2-May-22,RT2,17,34.0,50.0
140,18559,2-May-22,RT2,18,44.0,40.91
141,17563,2-May-22,RT2,28,44.0,63.64
142,17562,2-May-22,RT2,14,30.0,46.67
143,18558,2-May-22,RT2,14,30.0,46.67
144,17564,2-May-22,RT2,16,40.0,40.0
145,18561,2-May-22,RT2,25,40.0,62.5
146,18560,2-May-22,RT2,26,40.0,65.0
147,17560,2-May-22,RT2,23,45.0,51.11
148,19561,2-May-22,RT2,22,45.0,48.89
149,19563,2-May-22,RT2,20,45.0,44.44
150,19563,2-May-22,RT3,14,29.0,48.28
151,19562,2-May-22,RT3,18,29.0,62.07
152,19561,2-May-22,RT3,17,29.0,58.62
153,18562,2-May-22,RT3,18,29.0,62.07
154,17558,2-May-22,RT3,12,27.0,44.44
155,17562,2-May-22,RT3,12,27.0,44.44
156,19559,2-May-22,RT3,14,27.0,51.85
157,16559,2-May-22,RT3,20,32.0,62.5
158,16558,2-May-22,RT3,5,8.0,62.5
159,18561,2-May-22,RT3,18,25.0,72.0
160,18558,2-May-22,RT3,15,26.0,57.69
161,16561,2-May-22,RT3,13,21.0,61.9
162,16563,2-May-22,RT3,13,20.0,65.0
163,17560,2-May-22,RT3,13,25.0,52.0
164,18560,2-May-22,RT3,14,24.0,58.33
165,17559,2-May-22,RT3,9,16.0,56.25
166,17563,2-May-22,RT3,9,16.0,56.25
167,18559,2-May-22,RT3,9,23.0,39.13
168,19558,2-May-22,RT3,9,21.0,42.86
169,17564,2-May-22,RT3,9,24.0,37.5
170,16560,2-May-22,RT3,10,20.0,50.0
171,17561,2-May-22,RT3,10,19.0,52.63
172,16562,2-May-22,RT3,11,18.0,61.11
173,18563,2-May-22,RT3,11,23.0,47.83
174,19560,2-May-22,RT3,11,19.0,57.89
175,19559,2-May-22,RT4,2,3.0,66.67
176,16558,2-May-22,RT4,2,3.0,66.67
177,17558,2-May-22,RT4,4,6.0,66.67
178,19563,2-May-22,RT4,4,6.0,66.67
179,19558,2-May-22,RT4,4,7.0,57.14
180,19561,2-May-22,RT4,4,7.0,57.14
181,18561,2-May-22,RT4,5,9.0,55.56
182,16561,2-May-22,RT4,6,10.0,60.0
183,17560,2-May-22,RT4,6,13.0,46.15
184,17564,2-May-22,RT4,6,17.0,35.29
185,18560,2-May-22,RT4,11,15.0,73.33
186,19560,2-May-22,RT4,11,16.0,68.75
187,18559,2-May-22,RT4,9,19.0,47.37
188,17563,2-May-22,RT4,12,19.0,63.16
189,19562,2-May-22,RT4,8,14.0,57.14
190,17559,2-May-22,RT4,8,14.0,57.14
191,18558,2-May-22,RT4,10,20.0,50.0
192,18562,2-May-22,RT4,12,20.0,60.0
193,18563,2-May-22,RT4,11,18.0,61.11
194,16563,2-May-22,RT4,12,18.0,66.67
195,16559,2-May-22,RT4,12,18.0,66.67
196,16562,2-May-22,RT4,3,6.0,50.0
197,17562,2-May-22,RT4,3,6.0,50.0
198,16560,2-May-22,RT4,3,7.0,42.86
199,17561,2-May-22,RT4,3,4.0,75.0
200,19563,3-May-22,RT3,15,29.0,51.72
201,16559,3-May-22,RT1,17,30.0,56.67
202,18560,3-May-22,RT1,19,30.0,63.33
203,19562,3-May-22,RT1,19,30.0,63.33
204,19563,3-May-22,RT1,15,30.0,50.0
205,17558,3-May-22,RT1,9,19.0,47.37
206,16558,3-May-22,RT1,14,19.0,73.68
207,17560,3-May-22,RT1,19,40.0,47.5
208,19558,3-May-22,RT1,20,40.0,50.0
209,19560,3-May-22,RT1,14,26.0,53.85
210,17561,3-May-22,RT1,16,26.0,61.54
211,16560,3-May-22,RT1,19,34.0,55.88
212,16561,3-May-22,RT1,10,18.0,55.56
213,16562,3-May-22,RT1,14,31.0,45.16
214,16563,3-May-22,RT1,25,41.0,60.98
